#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-93.047968,200,34.812357
-4.735153,200,34.876373
-1875.876535,200,35.866901
-1277.453097,200,35.926507
-981.070436,200,35.976238
-0.005748,200,36.026766
-1824.993623,200,36.076526
-1894.315628,200,36.126651
-1773.128703,200,36.176544
-1494.982842,200,36.226641
-1.869396,200,36.27629
-1660.484072,200,36.329071
-154.453261,200,37.37628
-1.3213,200,37.426832
-1234.545527,200,37.47879
-1795.950827,200,37.526744
-9.957777,200,37.578599
-862.382799,200,37.626609
-127.592412,200,37.679644
-1034.327127,200,37.726304
-1513.64251,200,37.776438
-1338.195736,200,37.826418
-831.606334,200,37.876402
-28.750381,200,38.892996
-6.872016,200,38.942892
-1205.086665,200,38.992834
-5.556025,200,39.058865
-433.52402,200,39.110507
-201.894766,200,39.159624
-74.149678,200,39.210667
-15.183313,200,39.260524
-1193.351241,200,39.310875
-155.322691,200,39.359569
-1402.06668,200,40.376258
-15.428787,200,40.426093
-122.100386,200,40.492265
-1928.397231,200,40.526013
-2.699716,200,40.576367
-1836.846105,200,40.62624
-1190.934297,200,40.67644
-0.681741,200,40.726344
-1652.933404,200,40.776584
-1122.952648,200,40.828377
-1099.847891,200,41.813133
-102.791465,200,41.859974
-1901.367269,200,41.913124
-5.841798,200,41.976408
-1055.698997,200,42.027043
-1774.398954,200,42.076391
-26.249723,200,42.126288
-1371.758146,200,42.176298
-632.433293,200,42.226254
-254.736955,200,42.278694
-246.008779,200,43.242765
-0.807681,200,43.293684
-6.219892,200,43.342875
-3.313727,200,43.393059
-4.95463,200,43.442833
-1244.179434,200,43.492954
-1911.165908,200,43.542998
-363.611652,200,43.59317
-71.862729,200,43.643279
-1746.096784,200,43.691181
-0.065529,200,44.659096
-1306.40789,200,44.711452
-97.214144,200,44.759529
-1560.214643,200,44.817811
-106.187991,200,44.875883
-22.996017,200,44.926206
-1809.694538,200,44.975819
-1540.954173,200,45.029187
-1323.204164,200,45.076084
-1114.008015,200,45.142192
-1703.059629,200,45.193196
-1579.881008,200,46.242686
-12.408385,200,46.292442
-94.021468,200,46.358629
