Step,Reward,Score
0,-1.799562914010846,0
1,-1.7746072164896152,0
2,-1.739676784140421,0
3,-1.6947772079148797,0
4,-1.6399158588182754,0
5,-1.585083386216848,0
6,-1.530283111211414,0
7,-1.4755188820361325,0
8,-1.4207951824114473,0
9,-1.366117267612551,0
10,-1.311491336838231,0
11,-1.2569247536220858,0
12,-1.2024263305432208,0
13,-1.1480067010417851,0
14,-1.0936788107854605,0
15,-1.0394585754579906,0
16,-0.9853631624815019,0
17,-0.9314116816876993,0
18,-0.8776282837388342,0
19,-0.8240444202645892,0
20,-0.7707027529053131,0
21,-0.7176615048540048,0
22,-0.6650012837787957,0
23,-0.6128303280338128,0
24,-0.5613047587829262,0
25,-0.5106529514211233,0
26,-0.4609657776929327,0
27,-0.4104184817310602,0
28,-0.35928322321065653,0
29,-0.30801914780814776,0
30,-0.2569846573234016,0
31,-0.20671475878254414,0
32,9.84072225823886,1
33,9.866381747798217,2
34,9.837166220871907,3
35,-0.20522221920748313,3
36,-0.24585709735528652,3
37,-0.2837514609006474,3
38,-0.3202518555718652,3
39,-0.35716481330257044,3
40,-0.39359274687138246,3
41,-0.4255627794653768,3
42,-0.4508586350967374,3
43,-0.46832156676121084,3
44,-0.4775625236698189,3
45,-0.47856296468480597,3
46,-0.47166338739441926,3
47,-0.4578442296778633,3
48,-0.4391441352411105,3
49,-0.41883972038552464,3
50,-0.39774150186823976,3
51,-0.375474370337466,3
52,-0.3518330650182119,3
53,-0.3268313624158783,3
54,-0.30058710285576357,3
55,-0.27350378036840073,3
56,-0.24657182883233597,3
57,-0.22194711198841582,3
58,-0.203727159854972,3
59,9.804139536610382,4
60,9.803582777161484,5
61,-0.2012072761793713,5
62,-0.20878951793412232,5
63,-0.2197598266035436,5
64,-0.23513038243674597,5
65,-0.2557210825677351,5
66,-0.28144527903789,5
67,-0.3106989767541982,5
68,-0.3392401275224671,5
69,-0.3624596640050609,5
70,-0.37834611944241003,5
71,-0.3865037958723143,5
72,-0.3873832337057148,5
73,-0.3818523333859304,5
74,-0.37087960944334886,5
75,-0.35546003237175305,5
76,-0.3366043205041683,5
77,-0.31520409527517923,5
78,-0.2919589747425063,5
79,-0.26736366652715376,5
80,-0.24171871336298492,5
81,-0.2151992407569642,5
82,9.812042496930523,6
83,9.839769468628583,7
84,9.8675543688515,8
85,9.89360002978031,9
86,9.877231874521238,10
87,9.85175331200242,11
88,9.827393632524753,12
89,9.804398068646476,13
90,-0.2170658581397365,13
91,-0.2367068377718862,13
92,-0.2539860175866253,13
93,-0.26805443639151705,13
94,-0.27793720908501685,13
95,-0.2830114623081818,13
96,-0.2833352672539846,13
97,-0.2795415644983986,13
98,-0.27246856520600415,13
99,-0.26283273690389397,13
100,-0.2511178917641407,13
101,-0.23762057175409973,13
102,-0.22253737738661133,13
103,-0.20604626774250243,13
104,9.811604407771009,14
105,9.829925706724403,15
106,9.847687028926087,16
107,9.861241424572542,17
108,9.862305654921725,18
109,9.8480378642443,19
110,9.82567282990476,20
111,-0.2001894155975028,20
112,-0.22780102010820663,20
113,-0.2563101202303492,20
114,-0.2850267599171513,20
115,-0.31322905507247023,20
116,-0.34006158429252753,20
117,-0.3644233537388416,20
118,-0.3851496433248296,20
119,-0.40140672622905804,20
120,-0.4128280715244511,20
121,-0.4194326543792384,20
122,-0.4215092780222238,20
123,-0.41950109360827537,20
124,-0.41389179491265937,20
125,-0.40511561030858523,20
126,-0.39352861367285985,20
127,-0.37944691057060276,20
128,-0.3632085373431545,20
129,-0.34521809721841085,20
130,-0.32596801807563974,20
131,-0.3060293877287211,20
132,-0.28601103166487796,20
133,-0.2665085306716027,20
134,-0.2480576171794088,20
135,-0.23109905384638876,20
136,-0.21596516789923795,20
137,-0.2028893196667127,20
138,9.807972156996122,21
139,9.816516101973415,22
140,9.822672196878152,23
141,9.826388495292733,24
142,9.827624489942036,25
143,9.826352487151121,26
144,9.822564977879871,27
145,9.81628294655461,28
146,9.807561371967552,29
147,-0.20350796656444475,29
148,-0.21679502661543443,29
149,-0.23213150772255772,29
150,-0.2493119629782594,29
151,-0.26808966751199237,29
152,-0.2881563119574485,29
153,-0.30910139728248404,29
154,-0.33036287936592584,29
155,-0.3511875751439728,29
156,-0.3706291894825111,29
157,-0.38766184415060456,29
158,-0.40143478111350805,29
159,-0.4114844183074231,29
160,-0.41777658415318764,29
161,-0.4206307922463455,29
162,-0.4205725646705193,29
163,-0.41815205761630714,29
164,-0.4138153968361912,29
165,-0.40787619234921557,29
166,-0.40054976227822126,29
167,-0.392003839146014,29
168,-0.3824065204632324,29
169,-0.3719654480410647,29
170,-0.3609533905172879,29
171,-0.349710940772057,29
172,-0.338621527807739,29
173,-0.3280703610801867,29
174,-0.31840669343067585,29
175,-0.3099217413758625,29
176,-0.302843058245002,29
177,-0.2973393203864738,29
178,-0.29352901436025214,29
179,-0.29148896621771564,29
180,-0.2912607041800803,29
181,-0.2928542263693805,29
182,-0.29624951828396895,29
183,-0.3013963912487992,29
184,-0.3082126625898026,29
185,-0.3165801235981569,29
186,-0.32633659710130786,29
187,-0.3372619965263667,29
188,-0.34905754819539997,29
189,-0.3613221247512475,29
190,-0.3735397567272657,29
191,-0.38510141275613485,29
192,-0.39537235692633443,29
193,-0.4037751539888226,29
194,-0.40984266243800815,29
195,-0.4132586282720967,29
196,-0.41394304862312703,29
197,-0.41210905847279333,29
198,-0.4081647513760165,29
199,-0.4025366534820284,29
200,-0.39556277614069735,29
201,-0.3874814830893316,29
202,-0.37846661277449,29
203,-0.3686651884175254,29
204,-0.35821886464680563,29
205,-0.3472672196820319,29
206,-0.335940850553629,29
207,-0.32435431988612895,29
208,-0.3126040368431763,29
209,-0.3007708494158769,29
210,-0.2889253309466723,29
211,-0.27713419896735947,29
212,-0.2654666462773508,29
213,-0.2539993968309724,29
214,-0.24281898511491018,29
215,-0.2320194977128354,29
216,-0.22169487089900364,29
217,-0.21192704521442246,29
218,-0.2027742411966762,29
219,9.805734817033414,30
220,9.813597133627031,31
221,9.82082355696249,32
222,9.827423982227918,33
223,9.833395180868822,34
224,9.838714448316017,35
225,9.843340096540361,36
226,9.847218326196336,37
227,9.850295981137592,38
228,9.8525376417826,39
229,9.853943505986932,40
230,9.854561926855267,41
231,9.854491186769417,42
232,9.85386894044567,43
233,9.852854237903566,44
234,9.85160875569952,45
235,9.850281838164676,46
236,9.849000739170503,47
237,9.847865500032375,48
238,9.846946914403235,49
239,9.846286774378031,50
240,9.845899893117341,51
241,9.845777143383359,52
242,9.845889556667457,53
243,9.84619264056473,54
244,9.846630937279542,55
245,9.847142499201276,56
246,9.847663029442145,57
247,9.848129562423393,58
248,9.848483756303507,59
249,9.84867458522126,60
250,9.848660375110327,61
251,9.848410106707949,62
252,9.847903831097655,63
253,9.847132272197413,64
254,9.846095796206919,65
255,9.844802999531158,66
256,9.843269263164123,67
257,9.841515308929466,68
258,9.83956607578992,69
259,9.837449791751668,70
260,9.835197133601952,71
261,9.832840573661018,72
262,9.830413632405726,73
263,9.827950266844308,74
264,9.825484211521607,75
265,9.823048408904805,76
266,9.820674464345089,77
267,9.818392219883794,78
268,9.816229402263,79
269,9.814211429880226,80
270,9.81236122727273,81
271,9.810699188148408,82
272,9.809243117979124,83
273,9.808008332332927,84
274,9.8070076373776,85
275,9.806251460480127,86
276,9.805747909493292,87
277,9.805502850726322,88
278,9.80551997044938,89
279,9.805800840508551,90
280,9.806344951909926,91
281,9.807149741781618,92
282,9.808210583734535,93
283,9.809520783535481,94
284,9.811071502267563,95
285,9.81285170671238,96
286,9.81484805881286,97
287,9.817044787592371,98
288,9.819423486681423,99
289,9.821962909038458,100
290,9.824638711408328,101
291,9.827423077595528,102
292,9.830284307894297,103
293,9.833186402483104,104
294,9.83608853940642,105
295,9.838944612772902,106
296,9.841702924685231,107
297,9.844306241771521,108
298,9.846692482740435,109
299,9.848796657258337,110
300,9.850554488895458,111
301,9.85190849183324,112
302,9.852816942550076,113
303,9.853265960661592,114
304,9.85328506273572,115
305,9.852965584433935,116
306,9.85247800952139,117
307,9.852072371970424,118
308,9.852031432971799,119
309,9.852560834149866,120
310,9.853652621022917,121
311,9.85497581356075,122
312,9.85582847617087,123
313,9.855235709928733,124
314,9.85231952260105,125
315,9.846789159284222,126
316,9.839049609983586,127
317,9.82984155792394,128
318,9.819867161386382,129
319,9.809645943000668,130
320,-0.20047716534083174,130
321,-0.21028265118038825,130
322,-0.2196325532616476,130
323,-0.2284403029690701,130
324,-0.23665149098360272,130
325,-0.2442318298175793,130
326,-0.2511595334290271,130
327,-0.25742044642419715,130
328,-0.263004901955021,130
329,-0.26790568349789684,130
330,-0.2721167276771265,130
331,-0.27563238021277525,130
332,-0.2784470247309192,130
333,-0.28055500725772575,130
334,-0.2819508000092453,130
335,-0.28262932176216804,130
336,-0.2825863795753603,130
337,-0.28181921180387015,130
338,-0.2803271042530223,130
339,-0.27811216560525803,130
340,-0.2751804187024998,130
341,-0.271543533714796,130
342,-0.26722198879450443,130
343,-0.26225129187668605,130
344,-0.2566948124774439,130
345,-0.2506704980378762,130
346,-0.24440327661863967,130
347,-0.23830597433189363,130
348,-0.23301956868320736,130
349,-0.22925653005265945,130
350,-0.22755053828695468,130
351,-0.2282080094212086,130
352,-0.23139158910512905,130
353,-0.23718281143478917,130
354,-0.24559617114487023,130
355,-0.25655407907304173,130
356,-0.26981989505799775,130
357,-0.2848853891057713,130
358,-0.3009250304077714,130
359,-0.3170730045828166,130
360,-0.3327483923187009,130
361,-0.347607250679369,130
362,-0.36136915964362903,130
363,-0.3737054259565493,130
364,-0.38421098122658504,130
365,-0.3924546509552118,130
366,-0.39805927780065364,130
367,-0.4007497063863531,130
368,-0.40035792458239317,130
369,-0.3968103772068181,130
370,-0.39011800579066513,130
371,-0.3803771128722855,130
372,-0.3677833049476432,130
373,-0.35266181012964903,130
374,-0.33555163895881357,130
375,-0.31751997559501066,130
376,-0.30040504497640663,130
377,-0.2854120570722031,130
378,-0.2729390769243114,130
379,-0.26312598039511276,130
380,-0.25603175836685677,130
381,-0.25167784126171255,130
382,-0.2500562364219657,130
383,-0.2511224524600918,130
384,-0.25477551940041376,130
385,-0.2608221587704028,130
386,-0.2689245642234671,130
387,-0.27855315886761184,130
388,-0.28901160302932555,130
389,-0.29958348725998585,130
390,-0.3096977243978923,130
391,-0.3189793861041095,130
392,-0.32720841566475467,130
393,-0.33426196868818003,130
394,-0.34007268269387914,130
395,-0.3446043123106709,130
396,-0.34783867565377946,130
397,-0.3497688316746873,130
398,-0.35039545249162674,130
399,-0.349724813874495,130
400,-0.3477677286875632,130
401,-0.34453913896003796,130
402,-0.3400582743473196,130
403,-0.3343493208889626,130
404,-0.32744256377285386,130
405,-0.31937595552091413,130
406,-0.31019709893196606,130
407,-0.2999656645106866,130
408,-0.2887563637427773,130
409,-0.27666270412696337,130
410,-0.2638020096637571,130
411,-0.25032243007416266,130
412,-0.23641298537387734,130
413,-0.22231759628664594,130
414,-0.20835318473733533,130
415,9.805070686764898,131
416,9.817439077469494,132
417,9.828145708221674,133
418,9.836571358696276,134
419,9.84226800145236,135
420,9.845209823589725,136
421,9.845906601728451,137
422,9.845210681157686,138
423,9.843978011965987,139
424,9.842848547523356,140
425,9.842193408833026,141
426,9.842143640864895,142
427,9.842639172750637,143
428,9.843484359183936,144
429,9.844415199987685,145
430,9.84517471050804,146
431,9.845577766065869,147
432,9.845544446347665,148
433,9.84509601235809,149
434,9.844325004646622,150
435,9.84335790270403,151
436,9.842323352656555,152
437,9.841331659492733,153
438,9.840464828148653,154
439,9.8397745435705,155
440,9.839285036477515,156
441,9.838998761431595,157
442,9.838903017980078,158
443,9.838976417077303,159
444,9.839194363444216,160
445,9.839533077011113,161
446,9.839971907664445,162
447,9.840494239199968,163
448,9.841087069431794,164
449,9.84173981423494,165
450,9.842442597389038,166
451,9.843184395243467,167
452,9.843951424941343,168
453,9.84472583780445,169
454,9.845484799732715,170
455,9.846200227019336,171
456,9.846838912671403,172
457,9.84736315979797,173
458,9.847731754216216,174
459,9.84790132971603,175
460,9.847827931379898,176
461,9.847468748812226,177
462,9.846783883312618,178
463,9.845738260369137,179
464,9.844303399011464,180
465,9.842459020845293,181
466,9.840194294616202,182
467,9.837508640215068,183
468,9.834411854972709,184
469,9.830923691599391,185
470,9.82707282396417,186
471,9.822895408160226,187
472,9.818433561092805,188
473,9.813733718121,189
474,9.808845090434739,190
475,9.803818184139429,191
476,-0.20129643894400445,191
477,-0.20644935970506512,191
478,-0.21159332611590603,191
479,-0.21668413486101618,191
480,-0.22168133878588997,191
481,-0.22654867410678614,191
482,-0.23125437861919465,191
483,-0.2357711306850229,191
484,-0.24007582260793064,191
485,-0.24414922160403785,191
486,-0.2479754951935333,191
487,-0.2515417604642065,191
488,-0.2548375379535188,191
489,-0.25785443032212785,191
490,-0.26058590427984485,191
491,-0.2630270966429306,191
492,-0.2651747827952031,191
493,-0.26702733971309667,191
494,-0.26858496776809543,191
495,-0.26984970285627025,191
496,-0.2708255299281527,191
497,-0.27151842169774143,191
498,-0.2719363439526903,191
499,-0.2720892167516623,191
500,-0.27198872112163774,191
501,-0.271648264996589,191
502,-0.2710826783389432,191
503,-0.27030798572566866,191
504,-0.2693411868987645,191
505,-0.26820006884226055,191
506,-0.2669029107562815,191
507,-0.26546827941651097,191
508,-0.26391490436024745,191
509,-0.26226146891992785,191
510,-0.26052647937249096,191
511,-0.2587281526789197,191
512,-0.2568843558777856,191
513,-0.2550124709192924,191
514,-0.2531293609272296,191
515,-0.251251298148213,191
516,-0.24939394521508015,191
517,-0.24757227544914018,191
518,-0.24580051170750988,191
519,-0.24409217904594943,191
520,-0.24245997044700293,191
521,-0.24091584461937987,191
522,-0.2394709118143369,191
523,-0.2381354600024302,191
524,-0.23691898695719255,191
525,-0.23583016135027451,191
526,-0.23487680569097236,191
527,-0.23406599935341993,191
528,-0.23340399936350126,191
529,-0.2328963167677472,191
530,-0.23254768346303992,191
531,-0.23236214313504353,191
532,-0.23234300326381815,191
533,-0.2324928633128984,191
534,-0.2328136112822628,191
535,-0.2333064670000196,191
536,-0.2339719601043706,191
537,-0.23480994518109527,191
538,-0.2358195115484067,191
539,-0.23699911619776862,191
540,-0.23834647937278797,191
541,-0.23985861924772636,191
542,-0.24153187143573562,191
543,-0.24336181080397776,191
544,-0.2453433470011972,191
545,-0.2474706531009408,191
546,-0.2497371935844189,191
547,-0.25213577949313004,191
548,-0.2546585449995261,191
549,-0.2572969941850642,191
550,-0.2600420223693781,191
551,-0.26288398082826225,191
552,-0.2658127051501627,191
553,-0.26881754412923387,191
554,-0.27188740095449887,191
555,-0.27501082968847734,191
556,-0.27817609908422103,191
557,-0.2813712110690773,191
558,-0.2845839705691945,191
559,-0.2878020945567064,191
560,-0.2910131923951157,191
561,-0.29420485383911765,191
562,-0.29736472140877546,191
563,-0.30048053643392536,191
564,-0.3035401650513193,191
565,-0.3065316900278495,191
566,-0.30944343632225874,191
567,-0.31226405715289074,191
568,-0.3149825561062226,191
569,-0.31758841721973063,191
