#{"t_start": 1736245147.9810102, "env_id": "CartPole-v1"}
r,l,t
148.0,148,252.629661
43.0,43,253.531585
244.0,244,258.563171
101.0,101,260.664592
169.0,169,264.157057
122.0,122,266.692245
125.0,125,269.281383
77.0,77,270.94825
114.0,114,274.246328
108.0,108,276.486424
139.0,139,279.35609
106.0,106,282.650379
119.0,119,285.126434
208.0,208,289.41844
155.0,155,292.628557
67.0,67,294.026299
149.0,149,297.118324
210.0,210,301.445954
131.0,131,304.171937
108.0,108,306.421529
200.0,200,310.565345
206.0,206,314.817433
104.0,104,316.975399
100.0,100,319.054625
100.0,100,321.129939
142.0,142,325.245574
170.0,170,328.755014
160.0,160,332.063915
156.0,156,335.288472
348.0,348,342.462562
387.0,387,350.450824
319.0,319,357.033716
211.0,211,361.402672
198.0,198,365.498859
295.0,295,372.555
433.0,433,381.489958
413.0,413,389.991521
144.0,144,392.966187
251.0,251,398.16797
232.0,232,402.955534
287.0,287,408.884966
171.0,171,413.517515
500.0,500,423.829346
198.0,198,427.921926
487.0,487,437.961666
477.0,477,447.781026
500.0,500,459.076114
363.0,363,466.561812
408.0,408,474.963016
477.0,477,484.759114
230.0,230,489.495223
162.0,162,492.854833
500.0,500,504.149324
500.0,500,514.470327
296.0,296,520.578048
249.0,249,525.717118
500.0,500,536.028075
500.0,500,547.322486
500.0,500,557.65307
500.0,500,567.95466
500.0,500,578.262075
500.0,500,589.549356
500.0,500,599.843632
500.0,500,610.15771
500.0,500,620.459721
500.0,500,631.714544
500.0,500,642.012256
500.0,500,652.309948
500.0,500,662.577737
500.0,500,673.819784
500.0,500,684.132609
500.0,500,694.434294
500.0,500,704.733552
500.0,500,715.964569
500.0,500,726.270426
500.0,500,736.577048
500.0,500,746.877963
500.0,500,758.105818
500.0,500,768.40012
500.0,500,778.68549
500.0,500,788.962505
500.0,500,800.250236
500.0,500,810.53911
500.0,500,820.820715
500.0,500,831.116081
500.0,500,841.414095
500.0,500,852.607557
500.0,500,862.902326
500.0,500,873.180524
500.0,500,883.470732
500.0,500,894.697356
500.0,500,904.992734
500.0,500,915.299365
500.0,500,925.606235
500.0,500,936.832833
500.0,500,947.127009
500.0,500,957.416415
500.0,500,967.717398
500.0,500,978.935143
500.0,500,989.228165
500.0,500,999.510874
500.0,500,1009.823121
500.0,500,1021.055863
500.0,500,1031.323649
500.0,500,1041.61397
500.0,500,1051.904271
500.0,500,1063.185909
500.0,500,1073.467444
500.0,500,1083.746777
500.0,500,1094.045096
500.0,500,1105.334282
500.0,500,1115.651046
500.0,500,1125.93595
500.0,500,1136.243731
500.0,500,1147.445009
500.0,500,1157.745778
500.0,500,1168.045187
500.0,500,1178.33338
500.0,500,1189.784374
500.0,500,1200.076811
500.0,500,1210.370326
500.0,500,1220.644936
500.0,500,1231.85917
500.0,500,1242.149637
500.0,500,1252.449062
500.0,500,1262.750608
500.0,500,1273.93342
500.0,500,1284.238682
500.0,500,1294.522618
500.0,500,1304.805999
500.0,500,1315.096877
500.0,500,1326.637999
500.0,500,1336.93472
500.0,500,1347.243076
500.0,500,1357.539461
500.0,500,1368.8508
500.0,500,1379.133299
500.0,500,1389.433785
500.0,500,1399.725756
500.0,500,1410.952939
500.0,500,1421.235465
500.0,500,1431.540063
500.0,500,1441.841486
500.0,500,1453.674092
500.0,500,1463.96745
500.0,500,1474.264765
500.0,500,1484.558153
500.0,500,1496.402631
500.0,500,1506.692246
500.0,500,1516.96817
500.0,500,1527.254473
500.0,500,1538.869754
500.0,500,1549.178882
500.0,500,1559.484662
500.0,500,1569.768929
500.0,500,1581.040387
500.0,500,1591.336848
500.0,500,1601.64261
500.0,500,1611.942635
500.0,500,1623.156481
500.0,500,1633.468448
500.0,500,1643.762963
500.0,500,1654.035536
500.0,500,1665.329878
500.0,500,1675.626896
500.0,500,1685.905629
500.0,500,1696.204954
500.0,500,1707.449438
500.0,500,1717.735609
500.0,500,1728.041494
500.0,500,1738.311775
500.0,500,1748.593049
500.0,500,1759.949371
500.0,500,1770.226059
500.0,500,1780.547812
500.0,500,1790.813003
500.0,500,1802.117651
500.0,500,1812.418284
500.0,500,1822.713234
500.0,500,1833.023468
500.0,500,1844.300741
500.0,500,1854.572134
500.0,500,1864.855343
500.0,500,1875.119938
500.0,500,1886.356386
500.0,500,1896.650208
500.0,500,1906.934188
500.0,500,1917.222162
500.0,500,1928.419336
500.0,500,1938.690789
500.0,500,1948.989179
500.0,500,1959.275352
500.0,500,1970.476701
500.0,500,1980.75479
500.0,500,1991.049423
500.0,500,2001.323567
500.0,500,2012.696466
500.0,500,2022.978592
500.0,500,2033.279156
500.0,500,2043.564734
500.0,500,2054.839484
500.0,500,2065.122261
500.0,500,2075.411226
500.0,500,2085.746107
500.0,500,2096.971898
500.0,500,2107.253747
500.0,500,2117.554631
500.0,500,2127.812511
500.0,500,2572.591844
